ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,sample,baseline_ret,baseline_exc,rule_ret,rule_exc,exited_early
5681.KL,2010-08-11,100.0,1.0,-0.011538375271701,-0.0356345640516919,-0.019231135210965,-0.0517979248793945,0.0769229266097821,0.0141914862530352,0.1057689497487233,-0.0225618266746023,in_sample,0.1057689497487233,-0.0225618266746023,-0.011538375271701,-0.0356345640516919,True
5681.KL,2010-09-09,85.0,1.0,0.0,-0.0221938762948181,-0.0178572485149333,-0.0365874653018465,-0.0249993432311748,-0.0595178397129234,0.0994566529814189,0.0413740478095663,in_sample,0.0994566529814189,0.0413740478095663,0.0,-0.0221938762948181,True
5681.KL,2010-10-11,85.0,1.0,0.0018308398487265,0.0063420928681491,0.0036623270090183,0.0009529818157241,0.0531127230787367,0.0268119759960654,0.1371228408821594,0.0826926843838877,in_sample,0.1371228408821594,0.0826926843838877,0.1371228408821594,0.0826926843838877,False
5681.KL,2010-11-09,85.0,1.0,-0.0278253481558781,-0.0127650546843083,-0.0521733825608312,-0.0272868821282958,0.0707752977495039,0.0742079129839311,0.1301630037881038,0.1239135905377259,in_sample,0.1301630037881038,0.1239135905377259,-0.0278253481558781,-0.0127650546843083,True
5681.KL,2010-12-09,100.0,1.0,-0.0084034765137993,0.0072214332147217,-0.0033613475527172,0.0011151549017041,0.0084031177404453,-0.0225442722021724,0.1932766591025285,0.1961557977088075,in_sample,0.1932766591025285,0.1961557977088075,0.1932766591025285,0.1961557977088075,False
5681.KL,2011-01-06,85.0,1.0,0.0233331464283161,0.0212991471255405,0.0100000825418096,0.0233514865290335,0.0466670755806888,0.0672617368715098,0.3750002490485633,0.3791063856274953,in_sample,0.3750002490485633,0.3791063856274953,0.3750002490485633,0.3791063856274953,False
5681.KL,2011-02-09,85.0,1.0,0.0111461312382985,0.0290553988219608,0.0445856806831097,0.0746624042616732,0.1305724622601494,0.1430457953630219,0.2468150293021722,0.260206311605922,in_sample,0.2468150293021722,0.260206311605922,0.2468150293021722,0.260206311605922,False
5681.KL,2011-03-10,100.0,1.0,0.0281699567244666,0.0445322114397221,0.0605637984140783,0.0625876945517521,0.1619723954688741,0.1322936284247917,0.1464790245022369,0.1232541926566215,in_sample,0.1464790245022369,0.1232541926566215,0.1464790245022369,0.1232541926566215,False
5681.KL,2011-04-07,100.0,1.0,-0.0181819649646048,0.0049496757877914,-0.0412123159188604,-0.0184199395434466,-0.0509090878981619,-0.0211830104719508,-0.0181819649646048,-0.0312554837348499,in_sample,-0.0181819649646048,-0.0312554837348499,-0.0181819649646048,-0.0312554837348499,False
5681.KL,2011-05-06,85.0,1.0,0.0089399011984863,-0.00771466180671,-0.0229883641042977,-0.0318831054231693,0.0395909442851067,0.0154140952924064,0.1405294496123186,0.1124792947026354,in_sample,0.1405294496123186,0.1124792947026354,0.0089399011984863,-0.00771466180671,True
